name,dept,affiliation
Bartolome T. Tanguilig III,,Technological Institute of the Philippines
Bobby D. Gerardo,,Western Visayas State University
Ricardo Q. Camungao,,Technological Institute of the Philippines
Paul John O. Argarin,Department of Computer Science,University of the Philippines - Diliman
Neil Jonathan A. Joaquin,Department of Computer Science,University of the Philippines - Diliman
Richelle Ann B. Juayong,Department of Computer Science,University of the Philippines - Diliman
John Matthew B. Villaflores,Department of Computer Science,University of the Philippines - Diliman
Louie Anson Ng,Software Technology Department,De La Salle University
Lawrence Miguel Antonio,Institute of Information and Computing Sciences,University of Santo Tomas
Cecil Jose Delfinado,Institute of Information and Computing Sciences,University of Santo Tomas
Francis Jon Olaso,Institute of Information and Computing Sciences,University of Santo Tomas
Joseph Ordillano,Institute of Information and Computing Sciences,University of Santo Tomas
Novelle Anne Sinco,Institute of Information and Computing Sciences,University of Santo Tomas
Warren Adam Sto. Tomas,Institute of Information and Computing Sciences,University of Santo Tomas
Roberto Legaspi,Transdisciplinary Research Integration Center,The Institute of Statistical Mathematics
Kok-Lim Low,School of Computing,National University of Singapore
Sang N. Le,Department of Computer Science,Digipen Institute of Technology
Eduardo R. Mendoza,Physics Department,Ludwig Maximilians University
Carlene P.C. Pilar-Arceo,Institute of Mathematics,University of the Philippines - Diliman
Jayson A. Lucilo,College of Science,Bicol University
Katrina T. Lacsamana,Center for Empathic Human-Computer Interaction,De La Salle University
Mary B. Malana,Center for Empathic Human-Computer Interaction,De La Salle University
Albert H. Rivera,Center for Empathic Human-Computer Interaction,De La Salle University
Carlo Adriano,Computer Technology Department,De La Salle University
Raphael Bihis,Computer Technology Department,De La Salle University
Jaimie Bringas,Computer Technology Department,De La Salle University
Charisse Hong,Computer Technology Department,De La Salle University
Ann Franchesca B. Laguna,Computer Technology Department,De La Salle University
Katrina B. Gapuz,Department of Computer Science,University of the Philippines - Diliman
Ephraim D. Mendoza,Department of Computer Science,University of the Philippines - Diliman
Jordan Aiko Deja,Software Technology Department,De La Salle University
Leif Romeritch Syliongka,College of Computer Studies,National University
Xavier Jeaspher Eser,Department of Information Systems and Computer Science,Ateneo de Manila University
Ryan Rey M. Daga,Department of Information Systems and Computer Science,Ateneo de Manila University
Miguel Palma,Department of Information Systems and Computer Science,Ateneo de Manila University
Hadrian Ang,Department of Information Systems and Computer Science,Ateneo de Manila University
Vermille Ann T. Saw,Department of Information Systems and Computer Science,Ateneo de Manila University
Leona Jean A. Lao,Department of Information Systems and Computer Science,Ateneo de Manila University
Matthew Phillip Go,Software Technology Department,De La Salle University
Ann Renzel Lagunda,Department of Computer Science,University of the Philippines - Diliman
Genesis Ian Palaganas,Department of Computer Science,University of the Philippines - Diliman
Jaderick P. Pabico,Institute of Computer Science,University of the Philippines - Los Baños
Maureen Lyndel C. Lauron,Institute of Computer Science,University of the Philippines - Los Baños
Job Eliezek Bangayan,Department of Information Systems and Computer Science,Ateneo de Manila University
John Richard Bunyi,Department of Information Systems and Computer Science,Ateneo de Manila University
Jeau Gigataras,Department of Information Systems and Computer Science,Ateneo de Manila University
Jasper S. Agustin,Department of Information Systems and Computer Science,Ateneo de Manila University
