afid,authid,authname,author-url,dc:identifier,given-name,initials,surname
60071464,57213828323,Dadios E.,https://api.elsevier.com/content/author/author_id/57213828323,SCOPUS_ID:85078045442,Elmer P.,E.P.,Dadios
100474346,57213600767,Espina M.,https://api.elsevier.com/content/author/author_id/57213600767,SCOPUS_ID:85077880554,Marilou O.,M.O.,Espina
121760906,57202941004,Fajardo A.,https://api.elsevier.com/content/author/author_id/57202941004,SCOPUS_ID:85077880554,Arnel C.,A.C.,Fajardo
60103792,8935281500,Gerardo B.,https://api.elsevier.com/content/author/author_id/8935281500,SCOPUS_ID:85077880554,Bobby D.,B.D.,Gerardo
100474346,57198792998,Medina R.,https://api.elsevier.com/content/author/author_id/57198792998,SCOPUS_ID:85077880554,Ruji P.,R.P.,Medina
60105070,57213163407,Nagares N.,https://api.elsevier.com/content/author/author_id/57213163407,SCOPUS_ID:85077603806,Narene M.,N.M.,Nagares
100797274,54407677800,Sison A.,https://api.elsevier.com/content/author/author_id/54407677800,SCOPUS_ID:85077603806,Ariel M.,A.M.,Sison
60105070,57198792998,Medina R.,https://api.elsevier.com/content/author/author_id/57198792998,SCOPUS_ID:85077603806,Ruji P.,R.P.,Medina
60108105,57211335758,Aquino A.,https://api.elsevier.com/content/author/author_id/57211335758,SCOPUS_ID:85073574900,Avelina M.,A.M.,Aquino
"60071464,123322828",57211339432,Sabio C.,https://api.elsevier.com/content/author/author_id/57211339432,SCOPUS_ID:85073574900,Cecilia J.,C.J.,Sabio
"60071464,123322828",57211333655,Vigonte F.,https://api.elsevier.com/content/author/author_id/57211333655,SCOPUS_ID:85073574900,Florinda G.,F.G.,Vigonte
"60071464,123322828",57211335663,De Leon N.,https://api.elsevier.com/content/author/author_id/57211335663,SCOPUS_ID:85073574900,Nerinissa R.,N.R.,De Leon
60071464,55599317400,Bandala A.,https://api.elsevier.com/content/author/author_id/55599317400,SCOPUS_ID:85078051392,Argel A.,A.A.,Bandala
60071464,56771331700,Maningo J.,https://api.elsevier.com/content/author/author_id/56771331700,SCOPUS_ID:85078051392,Jose Martin Z.,J.M.Z.,Maningo
60071464,55497208700,Sybingco E.,https://api.elsevier.com/content/author/author_id/55497208700,SCOPUS_ID:85078051392,Edwin,E.,Sybingco
60071464,55319953900,Vicerra R.,https://api.elsevier.com/content/author/author_id/55319953900,SCOPUS_ID:85078051392,Ryan Rhay P.,R.R.P.,Vicerra
60071464,57213828323,Dadios E.,https://api.elsevier.com/content/author/author_id/57213828323,SCOPUS_ID:85078051392,Elmer P.,E.P.,Dadios
60071464,57213840311,Guillarte J.,https://api.elsevier.com/content/author/author_id/57213840311,SCOPUS_ID:85078051392,Joshua Daniel D.,J.D.D.,Guillarte
60071464,57213821196,Salting J.,https://api.elsevier.com/content/author/author_id/57213821196,SCOPUS_ID:85078051392,Julius Oigimer P.,J.O.P.,Salting
60071464,57213826650,Santos M.,https://api.elsevier.com/content/author/author_id/57213826650,SCOPUS_ID:85078051392,Ma Joyce Anne S.,M.J.A.S.,Santos
60071464,57213814516,Sarmiento B.,https://api.elsevier.com/content/author/author_id/57213814516,SCOPUS_ID:85078051392,Basil Anton E.,B.A.E.,Sarmiento
60071491,57202219124,Loquias R.,https://api.elsevier.com/content/author/author_id/57202219124,SCOPUS_ID:85078024546,Rizza T.,R.T.,Loquias
101198397,56716056800,Hilario C.,https://api.elsevier.com/content/author/author_id/56716056800,SCOPUS_ID:85078024546,Calvin Artemies G.,C.A.G.,Hilario
101198397,57213840403,Guzman M.,https://api.elsevier.com/content/author/author_id/57213840403,SCOPUS_ID:85078024546,Mar Francis D.De,M.F.D.D.,Guzman
101198397,9333833800,Marciano J.,https://api.elsevier.com/content/author/author_id/9333833800,SCOPUS_ID:85078024546,Joel Joseph S.,J.J.S.,Marciano
60071464,57189096030,Bedruz R.,https://api.elsevier.com/content/author/author_id/57189096030,SCOPUS_ID:85077981103,Rhen Anjerome,R.A.,Bedruz
60071464,55599317400,Bandala A.,https://api.elsevier.com/content/author/author_id/55599317400,SCOPUS_ID:85077981103,Argel A.,A.A.,Bandala
60071464,55319953900,Vicerra R.,https://api.elsevier.com/content/author/author_id/55319953900,SCOPUS_ID:85077981103,Ryan Rhay,R.R.,Vicerra
60071464,57213827504,Concepcion R.,https://api.elsevier.com/content/author/author_id/57213827504,SCOPUS_ID:85077981103,Ronnie,R.,Concepcion
60071464,6602629924,Dadios E.,https://api.elsevier.com/content/author/author_id/6602629924,SCOPUS_ID:85077981103,Elmer,E.,Dadios
100474346,57213595155,Delos Reyes I.,https://api.elsevier.com/content/author/author_id/57213595155,SCOPUS_ID:85077911602,Ian Val P.,I.V.P.,Delos Reyes
122314884,54407677800,Sison A.,https://api.elsevier.com/content/author/author_id/54407677800,SCOPUS_ID:85077911602,Ariel M.,A.M.,Sison
100474346,57198792998,Medina R.,https://api.elsevier.com/content/author/author_id/57198792998,SCOPUS_ID:85077911602,Ruji P.,R.P.,Medina
100474346,57213599594,Gamao A.,https://api.elsevier.com/content/author/author_id/57213599594,SCOPUS_ID:85077866721,Ariel O.,A.O.,Gamao
60103792,8935281500,Gerardo B.,https://api.elsevier.com/content/author/author_id/8935281500,SCOPUS_ID:85077866721,Bobby D.,B.D.,Gerardo
100474346,57213607038,Gameng H.,https://api.elsevier.com/content/author/author_id/57213607038,SCOPUS_ID:85077863541,Hazel A.,H.A.,Gameng
60103792,8935281500,Gerardo B.,https://api.elsevier.com/content/author/author_id/8935281500,SCOPUS_ID:85077863541,Bobby D.,B.D.,Gerardo
100474346,57198792998,Medina R.,https://api.elsevier.com/content/author/author_id/57198792998,SCOPUS_ID:85077863541,Ruji P.,R.P.,Medina
"60108104,60071464",57202279546,De Ocampo A.,https://api.elsevier.com/content/author/author_id/57202279546,SCOPUS_ID:85077608198,Anton Louise Pernez,A.L.P.,De Ocampo
60071464,6602629924,Dadios E.,https://api.elsevier.com/content/author/author_id/6602629924,SCOPUS_ID:85077608198,Elmer,E.,Dadios
60071464,57213812634,Felipe M.,https://api.elsevier.com/content/author/author_id/57213812634,SCOPUS_ID:85078036277,Mikhael Anthony A.,M.A.A.,Felipe
60071464,57213822960,Olegario T.,https://api.elsevier.com/content/author/author_id/57213822960,SCOPUS_ID:85078036277,Tanya V.,T.V.,Olegario
60071464,36056199500,Bugtai N.,https://api.elsevier.com/content/author/author_id/36056199500,SCOPUS_ID:85078036277,Nilo T.,N.T.,Bugtai
60071464,56741519000,Baldovino R.,https://api.elsevier.com/content/author/author_id/56741519000,SCOPUS_ID:85078036277,Renann G.,R.G.,Baldovino
60071464,57213840173,Espiritu N.,https://api.elsevier.com/content/author/author_id/57213840173,SCOPUS_ID:85077993259,Noelle Marie D.,N.M.D.,Espiritu
60071464,57213817595,Chen S.,https://api.elsevier.com/content/author/author_id/57213817595,SCOPUS_ID:85077993259,Senrong Ainsley C.,S.A.C.,Chen
60071464,57213840465,Blasa T.,https://api.elsevier.com/content/author/author_id/57213840465,SCOPUS_ID:85077993259,Tiffany Ann C.,T.A.C.,Blasa
60071464,57213821031,Arenos F.,https://api.elsevier.com/content/author/author_id/57213821031,SCOPUS_ID:85077993259,Francisco Emmanuel T.Munsayac Rebecca P.,F.E.T.M.R.P.,Arenos
60071464,56741519000,Baldovino R.,https://api.elsevier.com/content/author/author_id/56741519000,SCOPUS_ID:85077993259,Renann G.,R.G.,Baldovino
60071464,36056199500,Bugtai N.,https://api.elsevier.com/content/author/author_id/36056199500,SCOPUS_ID:85077993259,Nilo T.,N.T.,Bugtai
60071464,57208211645,Co H.,https://api.elsevier.com/content/author/author_id/57208211645,SCOPUS_ID:85077993259,Homer S.,H.S.,Co
60071464,57213814211,Crisostomo C.,https://api.elsevier.com/content/author/author_id/57213814211,SCOPUS_ID:85077991964,Chyn Ira C.,C.I.C.,Crisostomo
60071464,57213822215,Malalis R.,https://api.elsevier.com/content/author/author_id/57213822215,SCOPUS_ID:85077991964,Royce Val C.,R.V.C.,Malalis
60071464,57213815251,Saysay R.,https://api.elsevier.com/content/author/author_id/57213815251,SCOPUS_ID:85077991964,Romel S.,R.S.,Saysay
60071464,56741519000,Baldovino R.,https://api.elsevier.com/content/author/author_id/56741519000,SCOPUS_ID:85077991964,Renann G.,R.G.,Baldovino
60071464,57206649129,Carranza K.,https://api.elsevier.com/content/author/author_id/57206649129,SCOPUS_ID:85077990918,Karmelo Antonio Lazaro R.,K.A.L.R.,Carranza
60071464,57213819002,Manalili J.,https://api.elsevier.com/content/author/author_id/57213819002,SCOPUS_ID:85077990918,Joshua,J.,Manalili
60071464,36056199500,Bugtai N.,https://api.elsevier.com/content/author/author_id/36056199500,SCOPUS_ID:85077990918,Nilo T.,N.T.,Bugtai
60071464,56741519000,Baldovino R.,https://api.elsevier.com/content/author/author_id/56741519000,SCOPUS_ID:85077990918,Renann G.,R.G.,Baldovino
109703580,57213590401,Maghuyop A.,https://api.elsevier.com/content/author/author_id/57213590401,SCOPUS_ID:85077911758,Alicia Z.,A.Z.,Maghuyop
122836317,57212105411,Plata I.,https://api.elsevier.com/content/author/author_id/57212105411,SCOPUS_ID:85077863278,Irma T.,I.T.,Plata
122836317,57201298762,Panganiban E.,https://api.elsevier.com/content/author/author_id/57201298762,SCOPUS_ID:85077863278,Edward B.,E.B.,Panganiban
122836317,57212102749,Bartolome B.,https://api.elsevier.com/content/author/author_id/57212102749,SCOPUS_ID:85077863278,Bryan B.,B.B.,Bartolome
122836317,57210596791,Labuanan F.,https://api.elsevier.com/content/author/author_id/57210596791,SCOPUS_ID:85077863278,Freddie E.Rick,F.E.R.,Labuanan
122836317,57212141915,Taracatac A.,https://api.elsevier.com/content/author/author_id/57212141915,SCOPUS_ID:85077863278,Allan C.,A.C.,Taracatac
109703580,57213604370,Buot N.,https://api.elsevier.com/content/author/author_id/57213604370,SCOPUS_ID:85077850425,Nenita S.,N.S.,Buot
123481312,57212105411,Plata I.,https://api.elsevier.com/content/author/author_id/57212105411,SCOPUS_ID:85077718045,Irma T.,I.T.,Plata
109703580,57213140787,Fernandez J.,https://api.elsevier.com/content/author/author_id/57213140787,SCOPUS_ID:85077641573,Jessica Rose E.,J.R.E.,Fernandez
109703580,57213150771,Pascua G.,https://api.elsevier.com/content/author/author_id/57213150771,SCOPUS_ID:85077641573,Gracechell M.,G.M.,Pascua
123481312,57213154363,Alado D.,https://api.elsevier.com/content/author/author_id/57213154363,SCOPUS_ID:85077615991,Darios B.,D.B.,Alado
