venue,title,year,authors
pcsc,Enhancing Mobile Stereoscopic 3D Experience with Face Detection,2017,Jose Enrico Tiongson
pcsc,A Model for Classification of Skin Lesions using Image Processing Techniques and Neural network,2017,"Joshua Zambales, Patricia Angela Abu"
pcsc,On the Effect of Translated and Personalized Dialogues in an Intelligent Game-Based Learning Environment,2017,"Joshua C. Martinez, May Marie P. Talandron, Jun Rangie C. Obispo"
pcsc,Towards a Private Cloud Infrastructure Implementation for a University delivering IT curriculum using OpenStack,2017,"Ray Carlo Añonuevo, Dea Ferrer, Fernito Llanita, Miguel Mercado, Danny C. Cheng"
pcsc,"Air Pollution Simulation in Baguio City, Philippines using Genetic Algorithm",2017,"Lee Javellana, Joel Addawe"
pcsc,Understanding the Acoustic Features of Adult Cry Vocalizations,2017,"Karl Joseph Centillo, John Raymound Lemuel Javier, Catherine Mae Peña, 
Jian Michael Wu, Jocelynn Cu"
pcsc,Game-based Learning Through Heads-Up Displays and Narratives,2017,"Z. E. L. Arcega, M. T. Malit, J. L. Agapito"
pcsc,SkyLab : An extensible workflow web application for HPC on the cloud,2017,"Vincent Paul L. Carpio, Katrina Joy M. Abriol-Santos, Joseph Anthony C. Hermocilla"
pcsc,A Heuristic Intercluster Traffic Optimizer for Ideal Multicomputers,2017,Maureen M. Villamor
pcsc,Parameter Optimization of Vertical Decomposition with Genetic Algorithm for Multiple Sequence Alignment,2017,"Joel M. Addawe, Pierangela C. Gabriel"
pcsc,A Medical Counsel Generator from Multiple Source Documents,2017,"Nathalie Rose Lim-Cheng, Jonathan Yiu"
pcsc,Image Classification and Segregation of Environmental Waste using ORB,2017,"Christoffer F. Kho, Gian T. Salay, Marlene M. De Leon"
pcsc,MAG-Tagalog: A Rule-Based Tagalog Morphological Analyzer and Generator,2017,"Kristine Mae M. Adlaon, Charibeth Cheng, Maristella Aquino, Ervin Fernandez, Kevin Villanueva"
pcsc,visual Speech Recognition Using Convolutional Neural Networks and Long Short-term Memory with Transfer Learning,2017,"Ivy Ordanel, Henry N. Adorna"
