paperID,author1,author2,affiliation1,affiliation2,location,year
38,Marco C. Lucena,John Paul C. Vergara,Ateneo de Manila University,Ateneo de Manila University,local,2018
39,Ren Tristan dela Cruz,Dionne Peter P. Cailipan,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Ren Tristan dela Cruz,Jym Paul A. Carandang,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Ren Tristan dela Cruz,Francis George C. Cabarle,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Ren Tristan dela Cruz,Kelvin C. Buño,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Ren Tristan dela Cruz,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Ren Tristan dela Cruz,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Dionne Peter P. Cailipan,Jym Paul A. Carandang,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Dionne Peter P. Cailipan,Francis George C. Cabarle,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Dionne Peter P. Cailipan,Kelvin C. Buño,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Dionne Peter P. Cailipan,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Dionne Peter P. Cailipan,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Jym Paul A. Carandang,Francis George C. Cabarle,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Jym Paul A. Carandang,Kelvin C. Buño,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Jym Paul A. Carandang,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Jym Paul A. Carandang,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Francis George C. Cabarle,Kelvin C. Buño,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Francis George C. Cabarle,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Francis George C. Cabarle,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Kelvin C. Buño,Nestine Hope S. Hernandez,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Kelvin C. Buño,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
39,Nestine Hope S. Hernandez,Henry N. Adorna,University of the Philippines - Diliman,University of the Philippines - Diliman,local,2018
40,Shenamae Borja,John D. Ultra,"Advanced World Solutions, Inc.",University of the Philippines - Visayas Tacloban College,local,2018
41,Laurenz Adriel Tolentino,Allan Borra,De La Salle University,De La Salle University,local,2018
42,Maryene B. Sy Piecco,Marrick C. Neri,University of the Philippines - Visayas,University of the Philippines - Diliman,local,2018
43,Mary Grace Malana,Laurenz Adriel Tolentino,De La Salle University,De La Salle University,local,2018
43,Mary Grace Malana,Roger Luis Uy,De La Salle University,De La Salle University,local,2018
43,Laurenz Adriel Tolentino,Roger Luis Uy,De La Salle University,De La Salle University,local,2018
44,Amiel John B. Atienza,Art Maco T. Del Rosario,New Era University,New Era University,local,2018
44,Amiel John B. Atienza,John Carlo R. Gonzales,New Era University,New Era University,local,2018
44,Amiel John B. Atienza,Marc Angelo P. Martinez,New Era University,New Era University,local,2018
44,Amiel John B. Atienza,Carlo Marco S. Ortiz,New Era University,New Era University,local,2018
44,Art Maco T. Del Rosario,John Carlo R. Gonzales,New Era University,New Era University,local,2018
44,Art Maco T. Del Rosario,Marc Angelo P. Martinez,New Era University,New Era University,local,2018
