Author 1,Author 2,ID 1,ID 2,Affiliation 1,Affiliation 2,Year,DOI,EID,General Areas,Specific Areas,AUID 1,AUID 2
Verdad C. Agulto,Allan Christopher C. Yago,57194092779,57200166644,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85040022890,"Electronic, Optical and Magnetic Materials; Computer Science (all); Atomic and Molecular Physics, and Optics; Electrical and Electronic Engineering",MATE; COMP; PHYS; ENGI,AUID-57194092779,AUID-57200166644
Verdad C. Agulto,Roland V. Sarmago,57194092779,6506881360,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85040022890,"Electronic, Optical and Magnetic Materials; Computer Science (all); Atomic and Molecular Physics, and Optics; Electrical and Electronic Engineering",MATE; COMP; PHYS; ENGI,AUID-57194092779,AUID-6506881360
Allan Christopher C. Yago,Roland V. Sarmago,57200166644,6506881360,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85040022890,"Electronic, Optical and Magnetic Materials; Computer Science (all); Atomic and Molecular Physics, and Optics; Electrical and Electronic Engineering",MATE; COMP; PHYS; ENGI,AUID-57200166644,AUID-6506881360
Calvin Artemies G. Hilario,Joel Joseph S. Marciano,57201853138,9333833800,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85046301158,"Computer Networks and Communications; Mechanics of Materials; Safety, Risk, Reliability and Quality; Instrumentation",COMP; ENGI; PHYS,AUID-57201853138,AUID-9333833800
Jason Maximino C. Ongpeng,Andres Winston C. Oreta,54387183600,6602446235,De La Salle University,De La Salle University,2018,,2-s2.0-85041211027,Materials Science (all); Instrumentation; Engineering (all); Process Chemistry and Technology; Computer Science Applications; Fluid Flow and Transfer Processes,MATE; PHYS; ENGI; CENG; COMP,AUID-54387183600,AUID-6602446235
Irvin Van Bolo,Tristan Paul Espera,57202155869,57202150824,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202155869,AUID-57202150824
Irvin Van Bolo,Ramon Vicente Marquez,57202155869,57202152283,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202155869,AUID-57202152283
Irvin Van Bolo,Charleston Dale M. Ambatali,57202155869,57194210395,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202155869,AUID-57194210395
Irvin Van Bolo,Neil Irwin Bernardo,57202155869,57193451316,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202155869,AUID-57193451316
Tristan Paul Espera,Ramon Vicente Marquez,57202150824,57202152283,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202150824,AUID-57202152283
Tristan Paul Espera,Charleston Dale M. Ambatali,57202150824,57194210395,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202150824,AUID-57194210395
Tristan Paul Espera,Neil Irwin Bernardo,57202150824,57193451316,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202150824,AUID-57193451316
Ramon Vicente Marquez,Charleston Dale M. Ambatali,57202152283,57194210395,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202152283,AUID-57194210395
Ramon Vicente Marquez,Neil Irwin Bernardo,57202152283,57193451316,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57202152283,AUID-57193451316
Charleston Dale M. Ambatali,Neil Irwin Bernardo,57194210395,57193451316,University of the Philippines - Diliman,University of the Philippines - Diliman,2018,,2-s2.0-85047313749,Computer Networks and Communications; Signal Processing; Instrumentation,COMP; PHYS,AUID-57194210395,AUID-57193451316
Jo Ann V. Magsumbol,Gerard Kevin B. Cagatan,57193644720,57199719687,De La Salle University,De La Salle University,2018,,2-s2.0-85047777137,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57193644720,AUID-57199719687
Jo Ann V. Magsumbol,Laurence Gan Lim,57193644720,56042497700,De La Salle University,De La Salle University,2018,,2-s2.0-85047777137,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57193644720,AUID-56042497700
Jo Ann V. Magsumbol,Elmer P. Dadios,57193644720,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047777137,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57193644720,AUID-6602629924
Gerard Kevin B. Cagatan,Laurence Gan Lim,57199719687,56042497700,De La Salle University,De La Salle University,2018,,2-s2.0-85047777137,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57199719687,AUID-56042497700
Gerard Kevin B. Cagatan,Elmer P. Dadios,57199719687,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047777137,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57199719687,AUID-6602629924
Laurence Gan Lim,Elmer P. Dadios,56042497700,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047777137,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-56042497700,AUID-6602629924
Jimwell L. Soliman,Nino Rigo Emil G. Lim,57200577593,57202279283,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57200577593,AUID-57202279283
Jimwell L. Soliman,John Patrick D. Mercado,57200577593,57202284870,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57200577593,AUID-57202284870
Jimwell L. Soliman,Muhaimin Rex C. Lagurin,57200577593,57202292854,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57200577593,AUID-57202292854
Jimwell L. Soliman,Charles B. Felix,57200577593,56941483300,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57200577593,AUID-56941483300
Jimwell L. Soliman,Aristotle T. Ubando,57200577593,55326454500,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57200577593,AUID-55326454500
Jimwell L. Soliman,Alvin B. Culaba,57200577593,6508063649,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57200577593,AUID-6508063649
Nino Rigo Emil G. Lim,John Patrick D. Mercado,57202279283,57202284870,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279283,AUID-57202284870
Nino Rigo Emil G. Lim,Muhaimin Rex C. Lagurin,57202279283,57202292854,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279283,AUID-57202292854
Nino Rigo Emil G. Lim,Charles B. Felix,57202279283,56941483300,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279283,AUID-56941483300
Nino Rigo Emil G. Lim,Aristotle T. Ubando,57202279283,55326454500,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279283,AUID-55326454500
Nino Rigo Emil G. Lim,Alvin B. Culaba,57202279283,6508063649,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202279283,AUID-6508063649
John Patrick D. Mercado,Muhaimin Rex C. Lagurin,57202284870,57202292854,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284870,AUID-57202292854
John Patrick D. Mercado,Charles B. Felix,57202284870,56941483300,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284870,AUID-56941483300
John Patrick D. Mercado,Aristotle T. Ubando,57202284870,55326454500,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284870,AUID-55326454500
John Patrick D. Mercado,Alvin B. Culaba,57202284870,6508063649,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202284870,AUID-6508063649
Muhaimin Rex C. Lagurin,Charles B. Felix,57202292854,56941483300,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202292854,AUID-56941483300
Muhaimin Rex C. Lagurin,Aristotle T. Ubando,57202292854,55326454500,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202292854,AUID-55326454500
Muhaimin Rex C. Lagurin,Alvin B. Culaba,57202292854,6508063649,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57202292854,AUID-6508063649
Charles B. Felix,Aristotle T. Ubando,56941483300,55326454500,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-56941483300,AUID-55326454500
Charles B. Felix,Alvin B. Culaba,56941483300,6508063649,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-56941483300,AUID-6508063649
Aristotle T. Ubando,Alvin B. Culaba,55326454500,6508063649,De La Salle University,De La Salle University,2018,,2-s2.0-85047773692,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-55326454500,AUID-6508063649
Gerard Kevin B. Cagatan,Jo Ann V. Magsumbol,57199719687,57193644720,De La Salle University,De La Salle University,2018,,2-s2.0-85047732654,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57199719687,AUID-57193644720
Gerard Kevin B. Cagatan,Renann G. Baldovino,57199719687,56741519000,De La Salle University,De La Salle University,2018,,2-s2.0-85047732654,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57199719687,AUID-56741519000
Gerard Kevin B. Cagatan,Edwin Sybingco,57199719687,55497208700,De La Salle University,De La Salle University,2018,,2-s2.0-85047732654,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57199719687,AUID-55497208700
Gerard Kevin B. Cagatan,Elmer P. Dadios,57199719687,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047732654,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57199719687,AUID-6602629924
Jo Ann V. Magsumbol,Renann G. Baldovino,57193644720,56741519000,De La Salle University,De La Salle University,2018,,2-s2.0-85047732654,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57193644720,AUID-56741519000
Jo Ann V. Magsumbol,Edwin Sybingco,57193644720,55497208700,De La Salle University,De La Salle University,2018,,2-s2.0-85047732654,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57193644720,AUID-55497208700
Jo Ann V. Magsumbol,Elmer P. Dadios,57193644720,6602629924,De La Salle University,De La Salle University,2018,,2-s2.0-85047732654,"Computer Networks and Communications; Computer Science Applications; Human-Computer Interaction; Information Systems; Control and Optimization; Artificial Intelligence; Ecological Modeling; Management, Monitoring, Policy and Law",COMP; MATH; ENVI,AUID-57193644720,AUID-6602629924
