Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality
Aaron Don M. Africa,Aaron Don M. Africa,,55,author1; author2,40,55,14,0.170621,0.226954,98131,0.001943,0,17,0.064103,50,0.019221
Freyja Ivorie C. Miguel,Freyja Ivorie C. Miguel,,5,author1; author2,5,5,15,0.126294,0.144076,0,0.000207,0,2,1,10,0.002079
Charmina Sejalbo,Charmina Sejalbo,,6,author1; author2,6,6,3,0.625,0.766667,0,0.000268,68,76,1,15,0.001972
Dion Alfonso Velasco,Dion Alfonso Velasco,,5,author1; author2,5,5,2,0.666667,0.75,0,0.000256,69,74,1,10,0.001584
Jimwell L. Soliman,Jimwell L. Soliman,,27,author1; author2,13,27,14,0.16205,0.202403,228.602361,0.000371,0,0,0.615385,48,0.019052
Troy Canicosa,Troy Canicosa,,4,author1,4,4,4,0.379699,0.433168,0,0.000226,40,40,1,6,0.002429
Julian Eymard R. Lisaca,Julian Eymard R. Lisaca,,4,author1; author2,4,4,1,1,1,0,0.000243,70,149,1,6,0.00108
Stephanie Nicole M. Cristobal,Stephanie Nicole M. Cristobal,,3,author1,3,3,15,0.121194,0.139027,0,0.00017,0,20,1,3,0.001452
Melannie B. Mendoza,Melannie B. Mendoza,,3,author1,3,3,1,1,1,0,0.000243,71,227,1,3,0.000743
Cyril Paolo Quitevis,Cyril Paolo Quitevis,,1,author1,1,1,19,0.090974,0.103755,0,0.000081,0,12,0,0,0.000327
Manolito Octaviano Jr.,Manolito Octaviano Jr.,,10,author1; author2,6,10,14,0.144731,0.165661,8,0.00028,0,10,0.6,9,0.002476
Sam Supakkul,Sam Supakkul,,5,author1; author2,5,5,1,1,1,0,0.000243,72,132,1,10,0.001472
Toby Hi,Toby Hi,,7,author1,7,7,2,0.818182,0.888889,0,0.000147,73,80,1,21,0.002873
Maria Isabel S. Saludares,Maria Isabel S. Saludares,,4,author1; author2,4,4,17,0.107627,0.125754,37095.630108,0.000225,0,35,0.333333,2,0.001556
Franchesca Agatha V Beltran,Franchesca Agatha V Beltran,,3,author1; author2,3,3,16,0.136706,0.158977,0,0.000168,0,33,1,3,0.001214
Jessie Samaniego,Jessie Samaniego,,1,author1,1,1,1,1,1,0,0.000243,74,350,0,0,0.000208
John Paul Mandap,John Paul Mandap,,5,author1,5,5,16,0.114097,0.12586,0,0.000187,0,32,1,10,0.002053
Carolyn Domingo,Carolyn Domingo,,1,author1,1,1,14,0.122615,0.13112,0,0.000076,0,13,0,0,0.000318
Valynn Katrine Mag-usara,Valynn Katrine Mag-usara,,17,author1; author2,17,17,19,0.092136,0.107104,0,0.000228,0,14,1,136,0.01745
Michael C. Pacis,Michael C. Pacis,,19,author1; author2,14,19,14,0.139766,0.166732,32071.569475,0.000633,0,47,0.230769,21,0.005192
Nicolas Morales,Nicolas Morales,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Neriza V. Bustillo,Neriza V. Bustillo,,2,author1,2,2,18,0.101012,0.111963,0,0.000165,0,27,1,1,0.000829
Kentaro Ishizu,Kentaro Ishizu,,6,author1; author2,6,6,1,1,1,0,0.000243,75,108,1,15,0.001925
Nikolay Ignatovski,Nikolay Ignatovski,,2,author1; author2,2,2,1,1,1,0,0.000243,76,245,1,1,0.000454
Sebastianne L. Hipulan,Sebastianne L. Hipulan,,3,author1; author2,3,3,16,0.108171,0.120773,0,0.000186,0,20,1,3,0.00092
Mon Arjay F. Malbog,Mon Arjay F. Malbog,,3,author1; author2,3,3,17,0.094916,0.102523,0,0.000208,0,69,1,3,0.000807
Xiorence J. Cai,Xiorence J. Cai,,5,author1,5,5,14,0.152179,0.183944,0,0.000182,0,131,1,10,0.002326
Marino B. Palmares,Marino B. Palmares,,4,author1; author2,4,4,3,0.482759,0.583333,0,0.000204,42,61,1,6,0.001203
K. P.C. Landicho,K. P.C. Landicho,,7,author1; author2,7,7,18,0.105594,0.124119,0,0.000145,0,4,1,21,0.005244
Mharela Angela A. Tan,Mharela Angela A. Tan,,18,; author2,3,18,15,0.145779,0.175783,0,0.0005,0,17,1,3,0.001791
Carlos Matthew P. Cases,Carlos Matthew P. Cases,,5,author1,5,5,13,0.165991,0.206301,0,0.000114,0,0,1,10,0.010716
