Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,componentnumber,Cluster,clustering,triangles,eigencentrality
Steven Lorenzo Mindoro,Steven Lorenzo Mindoro,,16,author1; author2,10,16,18,0.089921,0.113872,0,0.000259,0,6,1,45,0.011135
Shawn Michael L. Lamod,Shawn Michael L. Lamod,,9,author1; author2,9,9,13,0.158395,0.188563,14111.325776,0.000303,0,2,0.5,18,0.00604
Paolo Mhae Ballaran,Paolo Mhae Ballaran,,4,author1,4,4,15,0.133732,0.15258,0,0.000169,0,8,1,6,0.001889
Floyd Ferrant B. Fortes,Floyd Ferrant B. Fortes,,1,author1,1,1,2,0.666667,0.75,0,0.000187,188,254,0,0,0.000226
Clarence Fernandez,Clarence Fernandez,,3,author1; author2,3,3,1,1,1,0,0.000243,59,189,1,3,0.000743
Mari Karen Lebumfacil Gabinete,Mari Karen Lebumfacil Gabinete,,5,author1; author2,5,5,16,0.125136,0.141761,0,0.000195,0,44,1,10,0.001636
Adam Hans Dayao,Adam Hans Dayao,,5,author1; author2,5,5,5,0.256997,0.294224,0,0.00024,40,43,1,10,0.001593
Christine Joy T. Dinio,Christine Joy T. Dinio,,9,author1,9,9,14,0.171811,0.225464,0,0.000184,0,0,1,36,0.019278
Kevin Jerome U. Kasilag,Kevin Jerome U. Kasilag,,7,author1; author2,7,7,15,0.14236,0.172585,0,0.000199,0,3,1,21,0.004183
Nophi Ian D. Biton,Nophi Ian D. Biton,,2,; author2,1,2,1,1,1,0,0.000243,189,405,0,0,0.000208
Carlos Alberto Arcenas,Carlos Alberto Arcenas,,2,author1,2,2,2,0.666667,0.75,0,0.000207,190,179,1,1,0.000492
Andres Philip Mayol,Andres Philip Mayol,,34,author1; author2,24,34,13,0.178844,0.236078,6728.190259,0.000453,0,0,0.463768,128,0.045373
Jonathan B. Mamplata,Jonathan B. Mamplata,,1,; author2,1,1,1,1,1,0,0.000243,191,322,0,0,0.000208
Mikko S. Jandumon,Mikko S. Jandumon,,6,author1; author2,6,6,16,0.125194,0.147947,0,0.00019,0,3,1,15,0.003011
Philip Caceres,Philip Caceres,,10,author1; author2,10,10,16,0.126011,0.14592,0,0.000288,0,21,1,45,0.005801
Jeremy Christian B. Reccion,Jeremy Christian B. Reccion,,5,author1; author2,5,5,15,0.14607,0.175846,0,0.000181,0,53,1,10,0.002262
D. G. Dela Torre,D. G. Dela Torre,,12,author1; author2,12,12,18,0.105617,0.125154,0,0.00019,0,4,1,66,0.010388
Francis Panganiban,Francis Panganiban,,2,author1; author2,2,2,19,0.085896,0.098003,0,0.000152,0,11,1,1,0.000523
Dan Anthony D. Dorado,Dan Anthony D. Dorado,,3,author1,3,3,1,1,1,0,0.000243,192,211,1,3,0.000743
Julie Anne O. Uywan,Julie Anne O. Uywan,,5,; author2,5,5,14,0.150633,0.179313,0,0.000173,0,2,1,10,0.003132
Russell John Laranang,Russell John Laranang,,4,author1; author2,4,4,14,0.139661,0.164676,0,0.000157,0,2,1,6,0.00291
Jovencio V. Merin,Jovencio V. Merin,,6,author1,6,6,1,1,1,0,0.000243,22,115,1,15,0.001925
Rodney Janwel Z. Divino,Rodney Janwel Z. Divino,,5,author1; author2,5,5,15,0.133917,0.153925,0,0.000171,0,8,1,10,0.002696
C.D.S. Ergina,C.D.S. Ergina,,1,author1,1,1,1,1,1,0,0.000243,193,325,0,0,0.000208
Allen Roy C. Roberto,Allen Roy C. Roberto,,10,author1; author2,5,10,19,0.094176,0.102703,0,0.000256,0,31,1,10,0.001993
Anatalia N. Endozo,Anatalia N. Endozo,,1,; author2,1,1,1,1,1,0,0.000243,194,367,0,0,0.000208
Clarysabel Tovar,Clarysabel Tovar,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Jann Marc F. Villablanca,Jann Marc F. Villablanca,,3,author1; author2,3,3,1,1,1,0,0.000243,195,212,1,3,0.000743
Consorcia E. Rea̱o,Consorcia E. Rea̱o,,3,author1,3,3,19,0.095759,0.109081,0,0.000125,0,4,1,3,0.001152
John Reinhart Gammad,John Reinhart Gammad,,6,; author2,6,6,13,0.164915,0.207537,0,0.000184,0,1,1,15,0.006237
R. Kumaraperumal,R. Kumaraperumal,,5,author1; author2,5,5,2,0.586207,0.647059,0,0.000146,115,51,1,10,0.002315
Rene Juna R. Claveria,Rene Juna R. Claveria,,2,author1; author2,2,2,1,1,1,0,0.000243,196,255,1,1,0.000454
John Roy Geralde,John Roy Geralde,,1,author1,1,1,3,0.470588,0.520833,0,0.000118,45,91,0,0,0.000302
Maria Jamelina T. Joven,Maria Jamelina T. Joven,,3,author1; author2,3,3,16,0.127299,0.146437,0,0.000179,0,17,1,3,0.000868
Maria Anna V San Luis,Maria Anna V San Luis,,1,author1,1,1,18,0.094202,0.110943,0,0.000083,0,35,0,0,0.000677
Kyle Darryl T. Aguilar,Kyle Darryl T. Aguilar,,19,author1; author2,10,19,13,0.166978,0.205166,302.717317,0.00028,0,0,0.666667,30,0.014653
Rosalina R. Estacio,Rosalina R. Estacio,,3,author1; author2,2,3,14,0.138811,0.159834,0,0.000111,0,2,1,1,0.001513
Ronald Vincent M. Santiago,Ronald Vincent M. Santiago,,9,author1; author2,9,9,2,0.736842,0.821429,40,0.000397,42,61,0.444444,16,0.002711
Rowena B. Carpio,Rowena B. Carpio,,7,author1; author2,4,7,2,0.7,0.785714,0.333333,0.000363,197,97,0.833333,5,0.001098
Diolo Parducho,Diolo Parducho,,9,author1,9,9,14,0.167592,0.216886,0,0.000171,0,0,1,36,0.021811
Cheng Chien Kuo,Cheng Chien Kuo,,2,; author2,2,2,2,0.6,0.666667,0,0.000158,158,122,1,1,0.000537
N. S. Sudarmanian,N. S. Sudarmanian,,5,author1; author2,5,5,2,0.586207,0.647059,0,0.000146,115,51,1,10,0.002315
Ma Victoria D. Rejuso,Ma Victoria D. Rejuso,,4,author1; author2,4,4,18,0.105479,0.12198,0,0.000139,0,4,1,6,0.001731
Tomohiro Shibata,Tomohiro Shibata,,7,; author2,7,7,18,0.093898,0.102035,12055,0.000357,0,59,0.52381,11,0.001965
Anacita P. Tahud,Anacita P. Tahud,,2,; author2,2,2,1,1,1,0,0.000243,198,256,1,1,0.000454
Andrew Laron,Andrew Laron,,3,author1,3,3,13,0.150915,0.166797,0,0.000134,0,13,1,3,0.001511
Vance Anthony Coronel,Vance Anthony Coronel,,12,author1; author2,12,12,17,0.098456,0.128256,0,0.000242,0,6,1,66,0.013499
Christian dela Cruz,Christian dela Cruz,,2,author1,2,2,18,0.101016,0.112032,2415,0.000197,0,27,0,0,0.000796
Franklin Ramirez,Franklin Ramirez,,2,; author2,2,2,1,1,1,0,0.000243,199,257,1,1,0.000454
Ingrid Marie Therese P. Fadriquela,Ingrid Marie Therese P. Fadriquela,,2,; author2,2,2,1,1,1,0,0.000243,78,246,1,1,0.000454
Mili Ann M. Tamayao,Mili Ann M. Tamayao,,5,; author2,5,5,4,0.301493,0.333333,294,0.000338,40,43,0.4,4,0.001287
Jolitte A. Villaruz,Jolitte A. Villaruz,,5,author1; author2,4,5,15,0.118565,0.133981,1532.841012,0.000256,0,22,0.666667,4,0.001198
Roberto Basil E Cruz,Roberto Basil E Cruz,,3,author1,3,3,13,0.139653,0.152572,0,0.000156,0,13,1,3,0.00107
M. Z.G. Untalan,M. Z.G. Untalan,,4,author1; author2,4,4,1,1,1,0,0.000243,200,164,1,6,0.00108
Junneil C. Lomocso,Junneil C. Lomocso,,4,; author2,4,4,2,0.611111,0.681818,0,0.000223,131,72,1,6,0.001236
Kurtis Heimerl,Kurtis Heimerl,,15,; author2,13,15,19,0.091115,0.107831,10.666667,0.000375,0,12,0.769231,60,0.006544
Jerelyn Co,Jerelyn Co,,5,author1,5,5,17,0.11631,0.132009,0,0.000197,0,23,1,10,0.00167
Marc Ericson Santos,Marc Ericson Santos,,2,; author2,2,2,16,0.125932,0.143989,0,0.000114,0,21,1,1,0.00123
Farah Jane A. Arato,Farah Jane A. Arato,,4,author1; author2,4,4,1,1,1,0,0.000243,88,151,1,6,0.00108
Jan Percival Sj Hao,Jan Percival Sj Hao,,4,author1; author2,4,4,13,0.167452,0.195243,0,0.000167,0,9,1,6,0.002389
Manuel C. Ramos,Manuel C. Ramos,,7,author1; author2,6,7,1,1,1,14,0.000708,179,126,0.066667,1,0.001308
Christopher Lambert M. Flores,Christopher Lambert M. Flores,,4,author1; author2,4,4,1,1,1,0,0.000243,10,144,1,6,0.00108
Kristofer E. Delas Pe̱as,Kristofer E. Delas Pe̱as,,2,author1,1,2,16,0.104129,0.113748,0,0.00013,0,39,0,0,0.000591
Shielo Baes Namuco,Shielo Baes Namuco,,11,author1; author2,10,11,17,0.112829,0.134871,1596.936688,0.00023,0,14,0.688889,31,0.005341
Anthony Shun Fung Chiu,Anthony Shun Fung Chiu,,5,; author2,5,5,13,0.166655,0.203207,0,0.0001,0,0,1,10,0.010208
Julie Anne S. Francisco,Julie Anne S. Francisco,,6,author1; author2,6,6,15,0.142344,0.172309,0,0.000191,0,3,1,15,0.003337
Ryan Rhay P. Vicerra,Ryan Rhay P. Vicerra,,185,author1; author2,78,185,13,0.191564,0.270332,93499.780028,0.002598,0,0,0.121545,365,0.107067
Sarah Jane D. Samalburo,Sarah Jane D. Samalburo,,4,; author2,4,4,18,0.102087,0.120768,0,0.000109,0,4,1,6,0.002924
Raphael Benedict G. Luta,Raphael Benedict G. Luta,,10,author1; author2,4,10,13,0.164611,0.20193,0,0.000193,0,0,1,6,0.00768
Eric Brewer,Eric Brewer,,4,author1; author2,4,4,19,0.091056,0.105486,0,0.000128,0,12,1,6,0.002027
Aldrin John Torres,Aldrin John Torres,,3,author1,3,3,2,0.615385,0.6875,0,0.000218,201,85,1,3,0.000845
Nathaniel Laxina,Nathaniel Laxina,,3,author1; author2,3,3,17,0.115626,0.127262,0,0.000177,0,31,1,3,0.000881
Jessica Rose E. Fernandez,Jessica Rose E. Fernandez,,1,author1,1,1,1,1,1,0,0.000243,202,323,0,0,0.000208
Anne Grace H. Peralta,Anne Grace H. Peralta,,1,author1,1,1,1,1,1,0,0.000243,203,344,0,0,0.000208
Louis Timothy D Dumlao,Louis Timothy D Dumlao,,4,author1; author2,4,4,5,0.347458,0.427236,0,0.000214,133,49,1,6,0.001406
Edward N. Cruz,Edward N. Cruz,,7,; author2,7,7,1,1,1,0,0.000243,204,98,1,21,0.002447
Christian Jay B Raagas,Christian Jay B Raagas,,3,author1; author2,3,3,5,0.29023,0.335314,0,0.000194,40,40,1,3,0.001142
George Procyon Cabrera,George Procyon Cabrera,,10,author1,10,10,18,0.089921,0.113872,0,0.000177,0,6,1,45,0.011135
Chinet M. Overstreet,Chinet M. Overstreet,,4,author1; author2,4,4,3,0.5,0.547619,0,0.000131,135,24,1,6,0.00194
Luigi Gabriel F. Mendoza,Luigi Gabriel F. Mendoza,,1,author1,1,1,1,1,1,0,0.000243,205,352,0,0,0.000208
Eimabelle Soriano Clavo De Comer,Eimabelle Soriano Clavo De Comer,,9,author1,9,9,18,0.089988,0.11508,0,0.000174,0,6,1,36,0.011654
Rommel Evan J. Paje,Rommel Evan J. Paje,,6,author1; author2,6,6,14,0.13221,0.154978,13249,0.000295,0,5,0.333333,5,0.004302
Juan Christian B. Camposanto,Juan Christian B. Camposanto,,7,author1; author2,7,7,13,0.163919,0.203412,0,0.000212,0,2,1,21,0.00543
Charl Amaba,Charl Amaba,,3,author1,3,3,2,0.636364,0.714286,0,0.000198,143,94,1,3,0.00083
D. L. Jaime Caro,D. L. Jaime Caro,,6,author1,6,6,1,1,1,0,0.000243,29,104,1,15,0.001925
John Marvin P. Arganda,John Marvin P. Arganda,,3,author1; author2,3,3,16,0.108171,0.120773,0,0.000186,0,20,1,3,0.00092
Heidilyn V. Gamido,Heidilyn V. Gamido,,3,author1,2,3,15,0.119966,0.136687,0,0.00015,0,5,1,1,0.001559
Jayne Kazandra P. Ortega,Jayne Kazandra P. Ortega,,5,author1; author2,5,5,15,0.126294,0.144076,0,0.000207,0,2,1,10,0.002079
Maria Cecilia Venal,Maria Cecilia Venal,,6,; author2,6,6,2,0.625,0.7,0,0.000227,12,55,1,15,0.002162
Lyndon Tuala,Lyndon Tuala,,9,author1; author2,9,9,16,0.125435,0.150706,0,0.000232,0,3,1,36,0.006305
Marl S. Magano,Marl S. Magano,,5,author1; author2,5,5,15,0.152844,0.185105,0,0.000162,0,15,1,10,0.003301
Jannieca Camba,Jannieca Camba,,3,author1,3,3,15,0.123777,0.136036,0,0.000156,0,18,1,3,0.001476
Karla Coleen A. Sambua,Karla Coleen A. Sambua,,2,author1; author2,2,2,3,0.5,0.544444,0,0.000136,52,57,1,1,0.000691
Daniel Patrick C. Marquez,Daniel Patrick C. Marquez,,4,author1; author2,4,4,14,0.150821,0.179817,0,0.000149,0,1,1,6,0.002682
Carlos Hortinela,Carlos Hortinela,,5,author1; author2,5,5,14,0.150633,0.179313,0,0.000173,0,2,1,10,0.003132
Jennibelle R. Ella,Jennibelle R. Ella,,1,author1,1,1,1,1,1,0,0.000243,32,324,0,0,0.000208
Rowena C. Solamo,Rowena C. Solamo,,13,author1; author2,11,13,15,0.125181,0.140255,6520.2,0.000503,0,18,0.4,22,0.004271
Roland P. Abao,Roland P. Abao,,1,; author2,1,1,1,1,1,0,0.000243,206,387,0,0,0.000208
Ricardo Q. Camungao,Ricardo Q. Camungao,,2,author1,2,2,15,0.128115,0.146277,0,0.000116,0,5,1,1,0.00113
John Rev Y. Rufino,John Rev Y. Rufino,,4,author1; author2,4,4,16,0.133717,0.153433,0,0.000198,0,15,1,6,0.001199
Edna A. Aguilar,Edna A. Aguilar,,6,; author2,6,6,1,1,1,0,0.000243,29,104,1,15,0.001925
Leonard Miguel Lanto,Leonard Miguel Lanto,,5,author1; author2,5,5,15,0.139106,0.159363,0,0.000188,0,25,1,10,0.002131
Jolene Valenzuela,Jolene Valenzuela,,3,author1; author2,3,3,15,0.129955,0.144856,0,0.000161,0,73,1,3,0.000994
Cristelle Marie I. Juare,Cristelle Marie I. Juare,,3,author1,3,3,1,1,1,0,0.000243,207,213,1,3,0.000743
Christopher James P. Mabbagu,Christopher James P. Mabbagu,,6,; author2,6,6,14,0.150925,0.181107,0,0.000196,0,1,1,15,0.004177
Crisanto R. Aldanese,Crisanto R. Aldanese,,4,author1; author2,4,4,5,0.347458,0.427236,0,0.000214,133,49,1,6,0.001406
Diana Marie De Silva,Diana Marie De Silva,,4,author1; author2,4,4,5,0.256345,0.289274,0,0.000211,40,43,1,6,0.001224
John Alvin B Reyes,John Alvin B Reyes,,3,; author2,3,3,20,0.086104,0.092791,0,0.000136,0,31,1,3,0.000993
Ryan Reyes,Ryan Reyes,,7,author1; author2,7,7,15,0.14236,0.172585,0,0.000204,0,3,1,21,0.003984
John Andrew Evangelista,John Andrew Evangelista,,11,author1; author2,11,11,19,0.091108,0.107418,0,0.000277,0,12,1,55,0.005979
Arah Jodelle T Jamandra,Arah Jodelle T Jamandra,,4,author1; author2,4,4,15,0.123783,0.136243,0,0.000209,0,18,1,6,0.001704
Julian Paolo De Castro,Julian Paolo De Castro,,4,author1; author2,4,4,15,0.129962,0.145063,0,0.000201,0,73,1,6,0.001293
Mehrdad Farokhnejad,Mehrdad Farokhnejad,,4,; author2,4,4,1,1,1,0,0.000195,62,166,1,6,0.00108
Lessandro Estelito,Lessandro Estelito,,7,author1; author2,7,7,14,0.178105,0.232587,0,0.000127,0,0,1,21,0.025338
Floro Barot,Floro Barot,,6,author1; author2,6,6,19,0.08274,0.102955,0,0.000156,0,6,1,15,0.005077
Mideth Abisado,Mideth Abisado,,9,author1,8,9,14,0.161854,0.194791,126381.952435,0.000312,0,8,0.642857,18,0.005871
John Russel Macatangay,John Russel Macatangay,,5,author1; author2,5,5,5,0.256997,0.294224,0,0.00024,40,43,1,10,0.001593
Arnold Gabriel S Cruz,Arnold Gabriel S Cruz,,5,author1; author2,5,5,14,0.161985,0.205063,0,0.000152,0,165,1,10,0.007809
V.M.II Romero,V.M.II Romero,,1,; author2,1,1,1,1,1,0,0.000243,193,325,0,0,0.000208
Ronel Vincent Vistal,Ronel Vincent Vistal,,11,author1; author2,11,11,19,0.091108,0.107418,0,0.000277,0,12,1,55,0.005979
Kristine Joy Andaya,Kristine Joy Andaya,,6,author1,6,6,18,0.101997,0.119595,0,0.000174,0,4,1,15,0.002825
Deepak Chawla,Deepak Chawla,,1,; author2,1,1,1,1,1,0,0.000243,208,326,0,0,0.000208
Julie Ann Salido,Julie Ann Salido,,5,author1; author2,4,5,16,0.121786,0.136101,4175.893286,0.000239,0,22,0.5,3,0.001089
Matthew G. Binag,Matthew G. Binag,,9,author1; author2,7,9,13,0.15023,0.182498,4.333333,0.000259,0,1,0.809524,17,0.004719
Alyanna B. Lopez,Alyanna B. Lopez,,5,author1; author2,5,5,14,0.176854,0.225999,0,0.000127,0,0,1,10,0.012732
Kareen C. Pernia,Kareen C. Pernia,,2,; author2,2,2,2,0.75,0.833333,0,0.00017,209,216,1,1,0.000492
Xychryz A.Ron P. Calangian,Xychryz A.Ron P. Calangian,,9,author1,9,9,14,0.171105,0.221739,0,0.000183,0,0,1,36,0.017902
Brian Jacob S. Sanchez,Brian Jacob S. Sanchez,,4,author1; author2,4,4,14,0.139492,0.163593,0,0.000148,0,2,1,6,0.002772
Armina Francisco,Armina Francisco,,1,; author2,1,1,1,1,1,0,0.000243,2,305,0,0,0.000208
Joycelyn P. Poblete,Joycelyn P. Poblete,,7,author1; author2,7,7,14,0.160841,0.200241,0,0.000178,0,118,1,21,0.006865
Samantha Jade Sadural,Samantha Jade Sadural,,1,; author2,1,1,1,1,1,0,0.000243,210,327,0,0,0.000208
Yuuki Hayakawa,Yuuki Hayakawa,,4,; author2,4,4,14,0.153602,0.176174,0,0.000183,0,34,1,6,0.001744
Flordeliza L. Valiente,Flordeliza L. Valiente,,18,author1; author2,15,18,14,0.146247,0.179763,679.094404,0.000497,0,1,0.428571,45,0.008418
Deanne Bianca Roque,Deanne Bianca Roque,,10,author1; author2,10,10,18,0.089988,0.115218,0,0.000191,0,6,1,45,0.011762
Miguel I̱igo Ma̱alac,Miguel I̱igo Ma̱alac,,4,author1; author2,4,4,13,0.157425,0.177485,0,0.000175,0,9,1,6,0.001658
Ivan Darren J. Evangelista,Ivan Darren J. Evangelista,,10,author1; author2,6,10,2,0.636364,0.714286,1.8,0.000297,81,64,0.933333,14,0.002066
Ivan Perez-Masias,Ivan Perez-Masias,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Adrian R. Llamado,Adrian R. Llamado,,1,author1,1,1,1,1,1,0,0.000243,191,322,0,0,0.000208
Arthur Lanz L. Imperial,Arthur Lanz L. Imperial,,6,author1; author2,6,6,14,0.161995,0.20527,0,0.000123,0,0,1,15,0.011921
Ailea Kamille L. Go,Ailea Kamille L. Go,,3,author1; author2,3,3,3,0.483871,0.555556,0,0.000188,160,58,1,3,0.000922
Yves Lean Krishner Macayana,Yves Lean Krishner Macayana,,12,author1,12,12,17,0.098456,0.128256,0,0.000242,0,6,1,66,0.013499
Macliing Gabriel Q. Aydinan,Macliing Gabriel Q. Aydinan,,2,author1; author2,2,2,16,0.104133,0.113955,0,0.000145,0,39,1,1,0.000833
Ming Lang Tseng,Ming Lang Tseng,,7,author1; author2,5,7,14,0.147849,0.169653,804.333333,0.00018,0,240,0.8,8,0.002697
Jay Mark T. Butalon,Jay Mark T. Butalon,,4,author1; author2,4,4,15,0.1212,0.139234,0,0.000189,0,20,1,6,0.001927
Fritz Kevin Flores,Fritz Kevin Flores,,7,author1; author2,7,7,13,0.142866,0.159563,26608.484348,0.000334,0,36,0.333333,7,0.00223
Adrian Martin S. Sy,Adrian Martin S. Sy,,7,author1; author2,4,7,14,0.144671,0.165034,0,0.000185,0,10,1,6,0.002287
Eloise P. Anguluan,Eloise P. Anguluan,,6,author1; author2,6,6,19,0.092108,0.105035,0,0.000122,0,14,1,15,0.005249
Kai Lung Hua,Kai Lung Hua,,6,; author2,4,6,13,0.147768,0.16296,0.333333,0.000224,0,13,0.833333,5,0.001624
Mark Anthony D. Vale,Mark Anthony D. Vale,,4,author1; author2,4,4,17,0.111997,0.125319,0,0.000205,0,67,1,6,0.001337
Susan M. Gallardo,Susan M. Gallardo,,1,; author2,1,1,1,1,1,0,0.000243,211,328,0,0,0.000208
Aristotle J. Ma̱alac,Aristotle J. Ma̱alac,,1,author1,1,1,14,0.152921,0.187759,0,0.000048,0,416,0,0,0.003715
Charity L. Monteclaro,Charity L. Monteclaro,,6,author1; author2,6,6,13,0.150193,0.182084,0,0.000187,0,1,1,15,0.004054
Rhen Anjerome R. Bedruz,Rhen Anjerome R. Bedruz,,141,author1; author2,46,141,14,0.181409,0.249971,17374.646302,0.001949,0,0,0.206763,214,0.07161
M. Ventanilla Mary Grace,M. Ventanilla Mary Grace,,3,author1; author2,3,3,1,1,1,0,0.000243,181,210,1,3,0.000743
Sidney Carlo Lopez,Sidney Carlo Lopez,,4,author1,4,4,15,0.146451,0.176667,0,0.00015,0,191,1,6,0.002075
Abien Fred Agarap,Abien Fred Agarap,,4,author1; author2,4,4,15,0.131347,0.150976,0,0.000178,0,10,1,6,0.001917
Wei Ping Ma,Wei Ping Ma,,5,author1; author2,5,5,1,1,1,0,0.000243,96,139,1,10,0.001472
Irene Therese Bermejo,Irene Therese Bermejo,,5,author1,5,5,2,0.666667,0.75,0,0.000256,69,74,1,10,0.001584
Camille H. Diaz,Camille H. Diaz,,4,author1; author2,4,4,14,0.170911,0.219945,0,0.000101,0,0,1,6,0.011443
Riyeth P. Tanyag,Riyeth P. Tanyag,,1,author1,1,1,18,0.094202,0.110943,0,0.000083,0,35,0,0,0.000677
T. Roosefert Mohan,T. Roosefert Mohan,,10,author1; author2,10,10,2,0.916667,0.954545,0,0.000255,56,70,1,45,0.004544
Alyzza Mae Panes,Alyzza Mae Panes,,5,author1,5,5,19,0.082737,0.102748,0,0.000138,0,6,1,10,0.004577
Danny Wen Yaw Chung,Danny Wen Yaw Chung,,3,; author2,3,3,14,0.14494,0.164777,0,0.000152,0,26,1,3,0.001736
Juan Raphael M Cornejo,Juan Raphael M Cornejo,,4,author1,4,4,16,0.136713,0.159184,0,0.000201,0,33,1,6,0.001545
Geraldo C. Talisic,Geraldo C. Talisic,,11,author1; author2,10,11,14,0.165547,0.208837,10264.660658,0.000331,0,1,0.555556,25,0.008074
Romeo Jorda,Romeo Jorda,,36,author1; author2,30,36,15,0.143009,0.180863,6849.041397,0.000865,0,3,0.268966,117,0.016787
Kenneth Martin C Atendido,Kenneth Martin C Atendido,,4,author1,4,4,15,0.152141,0.185681,0,0.000142,0,215,1,6,0.002956
John Matthew B. Villaflores,John Matthew B. Villaflores,,6,author1; author2,3,6,14,0.130158,0.144921,0,0.000137,0,19,1,3,0.002089
Eduardo B. Santiago,Eduardo B. Santiago,,1,author1,1,1,15,0.133157,0.14701,0,0.000092,0,34,0,0,0.000269
Eireen Ng,Eireen Ng,,3,author1; author2,3,3,4,0.35689,0.401815,0,0.00019,40,16,1,3,0.001741
Ariel Kelly D. Balan,Ariel Kelly D. Balan,,16,author1; author2,16,16,13,0.159146,0.198905,196374.403148,0.000528,0,1,0.308333,37,0.009052
Pierre Carceller,Pierre Carceller,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Eloise Reynaldo,Eloise Reynaldo,,9,author1; author2,9,9,13,0.182079,0.224624,0,0.000235,0,9,1,36,0.00956
Divine kia T. Tan,Divine kia T. Tan,,6,author1,6,6,16,0.125958,0.144817,0,0.000208,0,21,1,15,0.003012
Gabriel K. De Jesus,Gabriel K. De Jesus,,3,author1,3,3,16,0.109694,0.118571,0,0.000213,0,26,1,3,0.000913
Marian Nicole J. Inocencio,Marian Nicole J. Inocencio,,3,author1; author2,3,3,5,0.29023,0.335314,0,0.000194,40,40,1,3,0.001142
Ian Vincent O Mirasol,Ian Vincent O Mirasol,,3,author1; author2,3,3,4,0.35689,0.401815,0,0.00019,40,16,1,3,0.001741
Karl Ellois V. Ramirez,Karl Ellois V. Ramirez,,7,author1; author2,7,7,15,0.14236,0.172585,0,0.000199,0,3,1,21,0.004183
Candrianto,Candrianto,,1,author1,1,1,1,1,1,0,0.000243,212,383,0,0,0.000208
Gener Angelo Lopez,Gener Angelo Lopez,,2,; author2,2,2,1,1,1,0,0.000243,184,253,1,1,0.000454
Richard Finkers,Richard Finkers,,55,author1; author2,55,55,16,0.107929,0.136937,0,0.000254,0,7,1,1485,0.964798
Jim Patrick Migrino,Jim Patrick Migrino,,8,author1; author2,8,8,16,0.137296,0.166871,0,0.000217,0,3,1,28,0.0051
M. M. Maestro,M. M. Maestro,,3,author1; author2,3,3,18,0.101984,0.118974,0,0.000117,0,4,1,3,0.001629
Denise Erica V Montalvo,Denise Erica V Montalvo,,5,author1; author2,5,5,3,0.583333,0.666667,0,0.000211,81,64,1,10,0.001669
Ruy Josel Verano,Ruy Josel Verano,,4,author1; author2,4,4,1,1,1,0,0.000243,15,146,1,6,0.00108
E. M. Eduardo Mendoza,E. M. Eduardo Mendoza,,4,author1; author2,4,4,2,0.571429,0.625,0,0.00022,18,52,1,6,0.00135
Mary Joy H. Ramos,Mary Joy H. Ramos,,1,author1,1,1,2,0.6,0.666667,0,0.000169,213,228,0,0,0.000243
Gil Rupert Licu,Gil Rupert Licu,,6,author1,6,6,14,0.167766,0.207287,0,0.000168,0,15,1,15,0.006576
Aaron Christian P. Uy,Aaron Christian P. Uy,,67,author1; author2,14,67,14,0.178474,0.23545,424.66912,0.000875,0,0,0.747253,68,0.040541
Janette Salvatus,Janette Salvatus,,6,author1,6,6,19,0.091022,0.10521,0,0.000227,0,12,1,15,0.002004
Francesca Llanes,Francesca Llanes,,5,author1,5,5,2,0.777778,0.857143,0,0.000271,214,101,1,10,0.001514
Gio Francis Z. Tolentino,Gio Francis Z. Tolentino,,4,author1; author2,4,4,15,0.1212,0.139234,0,0.000193,0,20,1,6,0.001862
Rex Aurelius Robielos,Rex Aurelius Robielos,,14,author1; author2,13,14,2,0.882353,0.933333,62,0.000684,52,57,0.25641,20,0.003712
Melissa Lopez Reyes,Melissa Lopez Reyes,,1,author1,1,1,1,1,1,0,0.000243,215,411,0,0,0.000208
Ricardo F. Rivera,Ricardo F. Rivera,,4,author1,4,4,14,0.117111,0.128211,0,0.00013,0,28,1,6,0.001836
C. Garcia,C. Garcia,,13,author1; author2,13,13,2,0.809524,0.882353,0,0.000254,115,51,1,78,0.00786
Jayzon Ty,Jayzon Ty,,2,author1,2,2,16,0.125932,0.143989,0,0.000114,0,21,1,1,0.00123
Hayfah A. Dimakuta,Hayfah A. Dimakuta,,5,author1; author2,5,5,5,0.377358,0.505833,0,0.000241,61,38,1,10,0.001571
Richard M. Marzan,Richard M. Marzan,,3,author1,2,3,14,0.132072,0.153589,0,0.000123,0,5,1,1,0.003188
Ricardo Alasco,Ricardo Alasco,,7,author1,7,7,15,0.14236,0.172585,0,0.000204,0,3,1,21,0.003984
Mark Jovic A. Daday,Mark Jovic A. Daday,,2,author1,2,2,14,0.132116,0.154003,0,0.0001,0,5,1,1,0.002637
Josen Daniel O De Leon,Josen Daniel O De Leon,,3,author1,3,3,18,0.094209,0.111357,0,0.000191,0,35,1,3,0.001207
Mark Angelo Gomez,Mark Angelo Gomez,,9,author1; author2,9,9,16,0.125435,0.150706,0,0.000232,0,3,1,36,0.006305
Mark Jomar Buo,Mark Jomar Buo,,5,author1; author2,5,5,2,0.6,0.666667,0,0.000199,12,55,1,10,0.001825
